text,target
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as ‚ÄúM‚Äù (menus), ‚ÄúH‚Äù (headings), ‚ÄúF‚Äù (forms), ‚ÄúB‚Äù (buttons), and ‚ÄúG‚Äù (graphics) to jump to specific elements.",Not Dark Pattern
24 sold in last 24 hours.,Social Proof
 #CERTIFIED_FACE_MASKS ,Not Dark Pattern
Shop the Look,Not Dark Pattern
Kicks Remotes,Not Dark Pattern
Only 7 left in stock.,Scarcity
Whey Protein Isolate,Not Dark Pattern
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Not Dark Pattern
Product Info,Not Dark Pattern
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof
 Sign In With Google ,Not Dark Pattern
Shop All,Not Dark Pattern
 You can change your preference here Shop for Select an age ,Not Dark Pattern
1 in Stock,Scarcity
 shop all ,Not Dark Pattern
Low Stock Alert: Only 8 left in inventory,Scarcity
Womens Platform Shoes,Not Dark Pattern
Screen print graphics,Not Dark Pattern
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof
Thin and tough - protects from minor scratches,Not Dark Pattern
Kimberly R.,Not Dark Pattern
I don't feel lucky,Misdirection
Only 3 items left,Scarcity
 Butterscotch Cakes ,Not Dark Pattern
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Social Proof
Awntech New Yorker Window/Entry Slope Awnin ...,Not Dark Pattern
45 ADDED TO BAG IN THE PAST 24 HOURS,Social Proof
87% offers claimed. Hurry up!,Scarcity
HURRY! ¬£32.99 UK DELIVERY ENDS SOON,Urgency
ONLY 3 LEFT,Scarcity
8 items left,Scarcity
19 people viewed this product per day,Social Proof
 Irwin ,Not Dark Pattern
96 ITEM(S) LEFT IN STOCK!,Scarcity
__________,Not Dark Pattern
Only 1 left In Stock,Scarcity
Availability: Only 4 Left!,Scarcity
 Personalised Gifts ,Not Dark Pattern
A customer service specialist will contact you soon.,Not Dark Pattern
Your order is reserved for 09:54 minutes!,Urgency
 Screws & Other Fixings ,Not Dark Pattern
Use the domain shortly after payment,Not Dark Pattern
Office Supplies & Decor,Not Dark Pattern
This size has only 1 left in stock,Scarcity
Arrow,Not Dark Pattern
Returns an Item,Not Dark Pattern
HOT PRODUCT Over 250 people are looking at this item.,Social Proof
I don't want to save money,Misdirection
HURRY! ONLY 2 LEFT IN STOCK!,Scarcity
Hair type: Curly,Not Dark Pattern
DEAL ENDS IN 40:55:13,Urgency
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof
Only 1 Left,Scarcity
Search for similiar products,Not Dark Pattern
Only 33 left,Scarcity
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark Pattern
Promaster City Remotes,Not Dark Pattern
"Hurry, only a few left!",Scarcity
 V&A Collection People Tree‚Äôs collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern
Only 11 left!,Scarcity
Hurry! Only 6 left in stock,Scarcity
40 users are currently active on our website just now.,Social Proof
Hair Tools,Not Dark Pattern
Email Address*,Not Dark Pattern
 Send Us Your Jersey ,Not Dark Pattern
 View All Home Office Furniture ,Not Dark Pattern
Search Result:Search Results: ,Not Dark Pattern
90% offers claimed. Hurry up!,Scarcity
Tube Tops,Not Dark Pattern
Mitchell H. Purchased a Dimplex IgniteXL 100 Linear Built in Electric Fireplace,Social Proof
Hair type: Wavy,Not Dark Pattern
7 people looked at this product in the last 24 hours.,Social Proof
Glow Gear,Not Dark Pattern
18 In Stock,Scarcity
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Social Proof
00:15:07:45,Urgency
"No, I'll rather pay full price.",Misdirection
Only 9 Left.,Scarcity
Deals of the Week,Not Dark Pattern
" ... It covers love and loss, friendship and pain through ",Not Dark Pattern
1 person is viewing this,Social Proof
Your order is reserved for 09:14 minutes! ,Urgency
" Gift TypeFlowers, Cakes, Plants, etc. ",Not Dark Pattern
 CAMILLA World ,Not Dark Pattern
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,Not Dark Pattern
Fun Treat Tossing,Not Dark Pattern
Limited time remaining!,Urgency
"No thanks, I'll pay full price",Misdirection
Your shopping bag is empty...,Not Dark Pattern
Trousers & Chinos,Not Dark Pattern
Only 7 left in stock!,Scarcity
Only 5 item(s) left.,Scarcity
 Chargers ,Not Dark Pattern
(only 5 left),Scarcity
 Eyelashes ,Not Dark Pattern
Pick the price that matches your budget. ,Not Dark Pattern
"Bringing the latest footwear, ‚Äòfits and accessories from the biggest brands, the JD app makes coppin‚Äô the hottest looks even easier!",Not Dark Pattern
Child Safety,Not Dark Pattern
 Cosmic Rainbow ,Not Dark Pattern
NRA Annual Meetings & Exhibits,Not Dark Pattern
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,Not Dark Pattern
 Moonstone Beads ,Not Dark Pattern
I'll Shop Without A Discount,Misdirection
Only 11 Left In Stock,Scarcity
 Netherlands Antilles USD,Not Dark Pattern
Was this product description useful?YesNo,Not Dark Pattern
Returns Information,Not Dark Pattern
TiesToys & GamesTravelWatches,Not Dark Pattern
Bought by 39 people in last few hours! HOT SELLER!,Social Proof
Books and Stationery,Not Dark Pattern
Your order is reserved for 08:48 minutes!,Urgency
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Urgency
 Bioactive Custodians ,Not Dark Pattern
 Most-Hearted Styles Shop Now ,Not Dark Pattern
 Use a clean vase and clean water.,Not Dark Pattern
" well, this is awkward. ",Not Dark Pattern
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done üëè,Not Dark Pattern
 All¬†Licensed ,Not Dark Pattern
Nursing chairs,Not Dark Pattern
Only 1 Item(s) left,Scarcity
Discount pending $10 OFF 00:30:00,Urgency
Juniors' Shoes,Not Dark Pattern
Limited Time: $10 Off! Discount Reflected In Price!,Urgency
Switchers,Not Dark Pattern
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Not Dark Pattern
Ribbons,Not Dark Pattern
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Not Dark Pattern
IN 43 PEOPLE'S SHOPPING BAG,Social Proof
 Amethyst Beads ,Not Dark Pattern
Down Jackets,Not Dark Pattern
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency
"BERNARD in Philadelphia, United States purchased a",Social Proof
"NO THANKS, I DON‚ÄôT MIND MISSING OUT",Misdirection
"Hurry, only 1 left!",Scarcity
Only 26 Left,Scarcity
7 sold in last 24 hours,Social Proof
Buy Wearables¬ª,Not Dark Pattern
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency
 Watercolour Brushes Toggle category Watercolour Brushes ,Not Dark Pattern
LightInTheBox Êé≤ËºâË®ò‰∫ã,Not Dark Pattern
Clear filter,Not Dark Pattern
HURRY UP > 09H 42M 39S,Urgency
 Sweats ,Not Dark Pattern
Q:¬†Will this damage my hair?,Not Dark Pattern
Brandon Blackwood,Not Dark Pattern
"Someone in Sasebo, Japan just bought",Social Proof
80 Customers are considering this product right now.,Social Proof
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof
 End Tables,Not Dark Pattern
ONLY 2 LEFT IN STOCK!,Scarcity
Only few items left in stock,Scarcity
Only 1.75 yards left in stock!,Scarcity
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",Not Dark Pattern
71 people have purchased this item,Social Proof
Only 8 left,Scarcity
Subscribe & Save,Misdirection
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",Not Dark Pattern
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Social Proof
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Social Proof
00DAYS00HOURS14MINUTES21SECONDS,Urgency
"Great prices, professional customer services",Not Dark Pattern
Carnival Remotes,Not Dark Pattern
Hurry! Only 1 left in size M!!,Scarcity
Items in your cart are in high demand.,Scarcity
 VIP Points! ,Not Dark Pattern
Root Touch Up + Brow Filler,Not Dark Pattern
Limited stock Only 2 left,Scarcity
" Looks like your cart is empty, let's fix that! ",Not Dark Pattern
Over 500 left in stock,Scarcity
Lasers ,Not Dark Pattern
Choose your payment day. View your schedule and select pay now.,Not Dark Pattern
Hurry up! 6 people other than you have this product in their cart,Social Proof
 E-Gift Cards ,Not Dark Pattern
1 LEFT,Scarcity
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof
 Personalised Chocolates ,Not Dark Pattern
Shop Dresses by Occasion,Not Dark Pattern
I do not want to protect my item,Misdirection
Add to Your Gift and We'll Ship it For Free!,Misdirection
Wallets ,Not Dark Pattern
 Exclusive offers & discounts for club members via email ,Not Dark Pattern
Buy with humm.,Not Dark Pattern
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Not Dark Pattern
Synthesis E-MTB Carbon Wheelset,Not Dark Pattern
"25,439 people have viewed this item",Social Proof
No thanks I definitely measured correctly,Misdirection
57 PEOPLE HAVE LOOKED AT THIS TODAY,Social Proof
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Social Proof
Women's ApparelCollection ,Not Dark Pattern
"Before you check out, can we tempt you?",Misdirection
 Women's Sandals ,Not Dark Pattern
 Plant-Based Beauty ,Not Dark Pattern
 Frame out of stock in this colour,Not Dark Pattern
Hair Care Sets,Not Dark Pattern
Limited quantity remaining,Scarcity
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern
"128 sold today! Hurry, only a few left!",Scarcity
4 people are looking at this right now.,Social Proof
"No thanks, I dont want a discount",Misdirection
"Someone from Portland, United States (US) purchased MODALERT recently.",Social Proof
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Urgency
2 people are viewing this,Social Proof
HURRY! ONLY 1 IN STOCK!,Scarcity
Printed ,Not Dark Pattern
Patient Transfer Devices,Not Dark Pattern
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Not Dark Pattern
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark Pattern
LAST CHANCE TO ACTIVATE 10% OFF,Scarcity
Your order is reserved for 09:45 minutes!,Urgency
only 5 left,Scarcity
78 Persons looking for this product,Social Proof
 Heart Shaped Cake ,Not Dark Pattern
227 Bought Already,Social Proof
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Not Dark Pattern
Universal Fit Collapsible Smart Phone Stand,Not Dark Pattern
Hurry! Only Limited Items Left,Scarcity
Áèæ‰ª£Â•¥Èö∑Ê≥ï„Å´ÂØæ„Åô„ÇãÈÄèÊòéÊÄß„Å´Èñ¢„Åô„ÇãÂ£∞Êòé (opens in a new tab),Not Dark Pattern
Strong demand! Complete your order before it's too late!,Scarcity
Your order is reserved for 09:56 minutes!,Urgency
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Social Proof
Gift Wrapping Supplies,Not Dark Pattern
6 others have already bought this deal today!,Social Proof
info@coolhockey.com,Not Dark Pattern
LIMITED TIME OFFER 10% OFF - ENTER CODE \CASES\ AT CHECKOUT,Urgency
 Safe & Secure Checkout ,Not Dark Pattern
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Social Proof
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof
Wall Mounted Air Conditioners,Not Dark Pattern
"803 Claimed! Hurry, only a few left!",Scarcity
"Monira in Doha, Qatar purchased a LilyVanity‚Ñ¢ Velvet Box",Social Proof
Only 2 left!,Scarcity
3 PEOPLE VIEWING,Social Proof
"No thanks, I‚Äôd rather pay full price.",Misdirection
Product Feature,Not Dark Pattern
Plant-based Protein,Not Dark Pattern
Parad Combo Deals ,Not Dark Pattern
Last Shape Guide,Not Dark Pattern
 Baby & Toddler Toys ,Not Dark Pattern
Clocks ,Not Dark Pattern
 Cat's Eye Beads ,Not Dark Pattern
Shop now. Pay later. Always interest-free,Not Dark Pattern
Stay with us in India,Not Dark Pattern
No thanks. I don‚Äôt want deals.,Misdirection
Wyse Thin Client,Not Dark Pattern
AdjustableBucketHeadbandsSale Items- View All -,Not Dark Pattern
 Every bicycle tells a story ,Not Dark Pattern
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern
Add and save!,Misdirection
Intercoms & Doorbells,Not Dark Pattern
Boys Purple School Uniforms,Not Dark Pattern
RECENTLY VIEWED 2 others viewed this in the last few hours,Social Proof
2 viewed per hour,Social Proof
1 other customers have this item in their shopping cart,Social Proof
ONLY A FEW LEFT IN STOCK,Scarcity
1day21:04:58,Urgency
Fashion Forms,Not Dark Pattern
Stock Low : 6 items left.,Scarcity
"NO, I'LL PAY FULL PRICE",Misdirection
Terrarium Light Canopies,Not Dark Pattern
"HURRY, LOW IN STOCK!",Scarcity
Only 4 copies left,Scarcity
2 LEFT,Scarcity
Feedback,Not Dark Pattern
2 DAYS 13:06:13,Urgency
Receive news and updates on new products,Not Dark Pattern
5338 people bought this,Social Proof
2 left in stock,Scarcity
 dFresh - Fresh Products ,Not Dark Pattern
Thanks! -RMO Team,Not Dark Pattern
"6,743 people have viewed recently",Social Proof
Selling fast!,Scarcity
Welcome To Hotter us,Not Dark Pattern
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency
" To enable notifications, click 'Allow' when prompted. ",Not Dark Pattern
 PHX Mercury ,Not Dark Pattern
Easy Release Cleat Kit,Not Dark Pattern
111 people have purchased this item,Social Proof
Flowers Trivia:,Not Dark Pattern
Your order is reserved for 09:58 minutes!,Urgency
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Urgency
Celebrity Synthetic Wigs,Not Dark Pattern
1626 people seeing this product right now,Social Proof
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",Not Dark Pattern
 Glow Gear ,Not Dark Pattern
Converse,Not Dark Pattern
Stay Connected,Not Dark Pattern
Only 1 left in Stock,Scarcity
sales@ecklers.net,Not Dark Pattern
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Social Proof
Only 34 Left!,Scarcity
"William in Pago Pago, United States purchased a",Social Proof
"No thanks, I don‚Äôt like fun and games.",Misdirection
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just ¬£80?",Misdirection
Explore The NRA Universe Of Websites,Not Dark Pattern
New In Special Occasion,Not Dark Pattern
"‚Ä∫ New Year, New Kit Sale",Not Dark Pattern
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",Urgency
 Title of Review ,Not Dark Pattern
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Urgency
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Urgency
Cellular/Honeycomb Shades,Not Dark Pattern
113 people have viewed in the last 24hrs,Social Proof
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern
"Jamie in Nashville, United States purchased",Social Proof
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Social Proof
Don't miss out! We've sold 38 in the last few days.,Social Proof
"No, thank you. I prefer to pay the full price",Misdirection
"No Thanks, I don't like exclusive deals.",Misdirection
Loading interface...,Not Dark Pattern
 SAF Warriors ,Not Dark Pattern
 Lens Manual Washer ,Not Dark Pattern
"No thanks, I'd like 0% off",Misdirection
Warm Tips,Not Dark Pattern
 Our Carbon Footprint ,Not Dark Pattern
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,Not Dark Pattern
Uncheck the box if you prefer not to receive email updates.,Misdirection
| Add to Compare,Not Dark Pattern
"No Thanks, I Don't Want a Free Gift",Misdirection
 World of Sweats ,Not Dark Pattern
This item is in high demand.,Scarcity
Cargo Trousers,Not Dark Pattern
Hair Bundles With Closure,Not Dark Pattern
BreakThrough,Not Dark Pattern
ONLY 1 LEFT! GET IT NOW!,Scarcity
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Social Proof
ShopClose menu,Not Dark Pattern
Used Rifles,Not Dark Pattern
ONLY 4 LEFT,Scarcity
Limited quantity! ,Scarcity
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Misdirection
Hurry! Only 15 left!,Scarcity
 Motocross Boots ,Not Dark Pattern
 Remove Product? ,Not Dark Pattern
 Nursery ,Not Dark Pattern
Footwear Accessories,Not Dark Pattern
Only a few more left!,Scarcity
0011Days:0088Hours:4411Minutes:21125445Seconds,Urgency
and future features included!,Not Dark Pattern
69 people are viewing this,Social Proof
Only 4 items left in stock.,Scarcity
Natural Backgrounds,Not Dark Pattern
Speed Lace Accessory Kit - Orange,Not Dark Pattern
"No Thanks, I Prefer Paying Full Price",Misdirection
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",Not Dark Pattern
"Ends in 1 Days, 4 Minutes, 44 Seconds",Urgency
In Stock - Limited Quantity,Scarcity
on Freight,Not Dark Pattern
Canvas Wall Art,Not Dark Pattern
Only 8 left in stock. Almost Gone!,Scarcity
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,Not Dark Pattern
or,Not Dark Pattern
 Short Sleeve Dresses ,Not Dark Pattern
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Urgency
"No thanks, I don't like promotions and exclusive content.",Misdirection
 Shop All Lehenga Choli ,Not Dark Pattern
Lack Of Color,Not Dark Pattern
 Eye Protection,Not Dark Pattern
10 Left,Scarcity
 REPLACE-WITH-DYANMIC-HOST-ID,Not Dark Pattern
TVs,Not Dark Pattern
Only 2 left,Scarcity
Temporary Tattoos,Not Dark Pattern
3Days01:49:51 Left,Urgency
Log in / Create an account,Not Dark Pattern
Your order is reserved for 07:28 minutes!,Urgency
" is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",Not Dark Pattern
OH SO POPULAR! 21 bought in the last 7 days.,Social Proof
"No Thanks, I'll Pay Full Price",Misdirection
Card Storage,Not Dark Pattern
2 customers recently bought it,Social Proof
Only 1 left in stock,Scarcity
Horizon Wide Neck Sweatshirt,Not Dark Pattern
All Womens Accessories,Not Dark Pattern
Only 1 left in stock! Get in quick!,Scarcity
Strip Softbox,Not Dark Pattern
You left 2 items in your bag Released in: 29 minutes :07 seconds,Urgency
Your first payment will be due on the day of your purchase.*,Not Dark Pattern
7 people have it in their cart,Social Proof
Pre-order 3 left,Scarcity
Offer ends in 15hrs 1min 56sec!,Urgency
"Hurry, this style is selling fast!",Scarcity
 Glows In The Dark ,Not Dark Pattern
Towel Rails & Racks,Not Dark Pattern
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern
"Hurry, only 3 left!",Scarcity
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,Urgency
Quick Release,Not Dark Pattern
Blonde/Bleached Hair:¬†All colors look great. Silver won't be prominent on bleached hair though.,Not Dark Pattern
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Urgency
Chatting,Not Dark Pattern
Specialist Tools,Not Dark Pattern
 Menu Search ,Not Dark Pattern
 Fashion Bags ,Not Dark Pattern
"No thanks, I don't like discounts",Misdirection
Going Fast: Limited Quantities Left!,Scarcity
 This is a green tea without the bitterness. ,Not Dark Pattern
Spring Styles ,Not Dark Pattern
Rate & Review ,Not Dark Pattern
Only 498 left,Scarcity
Cooper Remotes,Not Dark Pattern
Over 38 bought,Social Proof
 Mitre Saws ,Not Dark Pattern
Christian Dior,Not Dark Pattern
Share this product,Not Dark Pattern
 Space Heaters & Workshop Heaters ,Not Dark Pattern
Hurry! Only a few of these left,Scarcity
Only 2 Left!,Scarcity
Animals & Action Figures,Not Dark Pattern
only 2 left,Scarcity
Only 1 Item Left!,Scarcity
HAUTELOOK 04:53,Urgency
Only 1 item left,Scarcity
 WANNA COLLAB? ,Not Dark Pattern
 PopTop Refine by Product Type: PopTop ,Not Dark Pattern
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency
Earn FanCash on all purchases!,Not Dark Pattern
Bob's Outreach ,Not Dark Pattern
Cleaning Brushes & Tools,Not Dark Pattern
Sunwayfoto,Not Dark Pattern
85 have it in their cart,Social Proof
No thanks. I'd rather pay full price.,Misdirection
Only 3 pieces in stock!,Scarcity
ONLY 3 LEFT IN STOCK.,Scarcity
Free Embroidery Patterns,Not Dark Pattern
Mixing & Measuring,Not Dark Pattern
"To qualify, simply verify your status during checkout on the payment step. We verify through ID.me, our trusted technology partner for secure digital identity verification. ",Not Dark Pattern
"no thanks, I'll save money another day",Misdirection
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Social Proof
Only 2 Left In Stock,Scarcity
 Best-Selling Products ,Not Dark Pattern
LIMITED TIME ONLY!,Urgency
 Subscribe! Don‚Äôt be caught empty handed ,Not Dark Pattern
 Add to Cart ,Not Dark Pattern
"Now 30% off - hurry, limited time offer!",Urgency
The requested page could not be found,Not Dark Pattern
 View In Your Room ,Not Dark Pattern
 EVO SP All EVO SP parts and accessories ,Not Dark Pattern
 Circa Punches ,Not Dark Pattern
 Riding Culture Neue Lifestyle-Marke bei motoin ,Not Dark Pattern
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern
COLLEGIATE,Not Dark Pattern
Sparkling Elegance,Not Dark Pattern
"To add to Wishlist, please register or sign in.",Not Dark Pattern
HURRY! Only a few left in stock!,Scarcity
 New In Lunch Boxes ,Not Dark Pattern
 Cayman Islands USD,Not Dark Pattern
"No Thanks, I rather pay full price",Misdirection
 View All Shoes ,Not Dark Pattern
Someone from Airdrie & 10820 others bought this item recently.,Social Proof
Rachel Comey,Not Dark Pattern
52 people are looking at this right now.,Social Proof
1 day 08:15:25,Urgency
"estiven in Deer Park, United States purchased PreWash‚Ñ¢ 4 oz",Social Proof
Delivery & Offers Terms,Not Dark Pattern
"Oscar from Cajamarca, Peru purchased",Social Proof
 New Arrivals,Not Dark Pattern
 Buy Tablets ,Not Dark Pattern
Only 3 Left,Scarcity
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern
ONLY 1 REMAINING,Scarcity
Point & Shoots,Not Dark Pattern
Already have an account?,Not Dark Pattern
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",Not Dark Pattern
Necessary Protection..,Misdirection
Joybird Design House,Not Dark Pattern
What is a cookie?,Not Dark Pattern
Someone in Spain purchased,Social Proof
LIMITED QUANTITY,Scarcity
View All Tops,Not Dark Pattern
2:06:40,Urgency
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof
"NO THANKS, I'll PAY FULL PRICE",Misdirection
13 people have added this to their cart,Social Proof
Panther Anole,Not Dark Pattern
Last chance! Only 1 left,Scarcity
AccessoriesCar AccessoriesDressesFootwearHome & OfficeJacketsLawn & OutdoorsPantsPolosShirts & SweatersShortsSleepwear & UnderwearSwim CollectionTailgatingSale Items- View All -,Not Dark Pattern
Pay weekly ,Not Dark Pattern
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!,Not Dark Pattern
Sale ends soon:,Urgency
Only 16531 items left in stock!,Scarcity
Want a special deal? Bundle and SAVE UPTO30%,Misdirection
4 people have purchased this item,Social Proof
BABY BOYSShoesClothingAccessories,Not Dark Pattern
NEED ADDITIONAL HELP?,Not Dark Pattern
"These cookies are necessary for the website to function and cannot be switched off in our system. These cookies are usually only set in response to actions made by you which include a request for services, such as setting your privacy preferences or logging into your account.",Not Dark Pattern
Only 3 Left!,Scarcity
