Misdirection,Social Proof,Scarcity,False Urgency,Confirm Shaming,Subscription Traps,Forced Action,Drip Pricing,Disguised Ads,Interface Interference
,780 views,final items left,Limited time offer expires by end of day,,plan activated automatically,,,,
,1.2K views,only a handful left,Limited time offer expires at 11:59 PM IST,,charged on renewal,,,,
,2.5K views,Item will not be restocked,Limited time offer expires in 30 minutes,,,,,,
,5K views,Last of its kind,Limited time offer expires by 6 PM today,,,,,,
,10K views,3 products remaining,get started now,,,,,,
,12 watching,5 products remaining,act now,,,,,,
,28 watching,7 products remaining,ending very soon,,,,,,
,45 watching,10 products remaining,Order before it end,,,,,,
,67 watching,15 products remaining,sale ending today,,,,,,
,102 watching,25 products remaining,last call,,,,,,
,250 watching,50 products remaining,final call,,,,,,
,500 watching,Inventory almost gone,vaild for 1 days,,,,,,
,12 people added this style to their bag,Few left in inventory,vaild for 2 days,,,,,,
,28 people added this style to their bag,short stock remaining,vaild for 3 days,,,,,,
,45 people added this style to their bag,,vaild for 5 days,,,,,,
,67 people added this style to their bag,,vaild for 7 days,,,,,,
,102 people added this style to their bag,,vaild for 10 days,,,,,,
,250 people added this style to their bag,,vaild for 14 days,,,,,,
,500 people added this style to their bag,,selling out quickly,,,,,,
,Customers Who Care About Quality Select This,,selling out fast,,,,,,
,Most chosen by customers like you,,quickly running out,,,,,,
,Preferred by members,,stock disappearing fast,,,,,,
,customer favorite choice,,act before it's gone,,,,,,
,most chosen option,,Flash Sale: 2 hours only,,,,,,
,popular among buyers,,Flash Sale: 3 hours only,,,,,,
,top trending product,,Flash Sale: 4 hours only,,,,,,
,currently trending item,,Flash Sale: 6 hours only,,,,,,
,viral among customers,,Flash Sale: 8 hours only,,,,,,
,people are choosing this,,Flash Sale: 12 hours only,,,,,,
,top rated by buyers,,Flash Sale: 24 hours only,,,,,,
,buyers love this item,,Lock in your low prices now,,,,,,
,most liked product,,,,,,,,
,popular pick today,,,,,,,,
,frequently purchased item,,,,,,,,
,others also bought,,,,,,,,
,others also viewed,,,,,,,,
,popular right now,,,,,,,,
,trusted by customers,,,,,,,,
,shoppers are viewing this,,,,,,,,
,people are exploring this,,,,,,,,
,customers are choosing this,,,,,,,,
,customer satisfaction high,,,,,,,,
